                   Hin-Har                     English
2319                                                बाण्य                                                       Habit
2320                                                 बाँस                                                       odour
2321                                                बारजा                                                     Balcony
2322                                                बारणा                                                     Outside
2323                                                बचूरे                                              Small Children
2324                                           बड्डा–बूढा                                              Senior citizen
2325                                                बगाणा                                                    To throw
2326                                                बग्गी                                                   Bull cart
2327                                                 बधाण                                                      A long
2328                                               बहड़का                                                  Young bull
2329                                                 बैरण                                                       Enemy
2330                                                  बळध                                                        Bull
2331                                                 चाळा                                                     Strange
2332                                                  चाम                                                     Leather
2333                                                 चालू                                                     clever 
2334                                                चमासा                                                Rainy season
2335                                             चंभोचाळी                                                     A sharp
2336                                                चानचक                                                    Suddenly
2337                                                चकूटा                                               Four-cornered
2338                                                चमौला                                                        joke
2339                                               चानदणा                                                        Dawn
2340                                           चानदणी रात                                             A Moonlit Night
2341                                                  चणक                                               The neck pain
2342                                                 चपाड                                              Community Hall
2343                                                चपड़स                                                       cloth
2344                                                   चर                                                   The small
2345                                                चर्खा                                                    Spinning
2346                                                चौखटा                                                    forehead
2347                                                चीकला                                                Baby sparrow
2348                                                चीथना                                                    To crush
2349                                               छब्बाक                                                   Long jump
2350                                                  छात                                                        Roof
2351                                                 छीदा                                                   scattered
2352                                                 छेछर                                                   overreact
2353                                                 छीदा                                                        Rare
2354                                                छेतणा                                                    To beat 
2355                                                छिकमा                                                   In plenty
2356                                               छिपकली                                                      Lizard
2357                                               छ्यावा                                                       house
2358                                               छ्यावा                                                     Shelter
2359                                                  मैं                                                           I
2360                                                   वा                                                         She
2361                                                 टीयू                                                         You
2362                                                   ये                                                          It
2363                                                   इक                                                           A
2364                                                    आ                                                        Come
2365                                                 आया                                                         Came
2366                                                आवागी                                                   Will come
2367                                                आवागा                                                   Will come
2368                                                  खोल                                                        Open
2369                                               खुलगया                                                      Opened
2370                                               खुलागा                                                   Will open
2371                                                  बेथ                                                         Sit
2372                                                  चाल                                                        Walk
2373                                                 काहा                                                         Eat
2374                                                मूत्र                                                       Drink
2375                                                  जीत                                                         Win
2376                                                   जा                                                          Go
2377                                                  भाग                                                         Run
2378                                वो सेउ खां लग राय वो।                                      He is eating an apple.
2379                                     उस्ने सेउ खलीया।                                            He ate an apple.
2380                      मन्ना पिचला हफ्ता फिलम देकी थी।                                   I saw the film last week.
2381                                 वा बस ताई काल आई थी।                                  She came by bus yesterday.
2382                                     रास्ता मैंडर गे।                                    They went to the temple.
2383                              वो साड़ी रात सो रया था।                                   He slept the whole night.
2384                           उसे पार्चे अच्छे लगते हैं।                           He wrote well in the examination.
2385                                          वो खा लीया।                                               He has eaten.
2386                                    उस्ने खालिया थाह।                                               He had eaten.
2387                                        वो चला गया था                                                He had gone.
2388                                            वो आया था                                                He had come.
2389                                           वो खावागा।                                                He will eat.
2390                                            वो जवागा।                                                 He will go.
2391                                           वाह आवागा।                                               He will come.
2392                                      तेरा नाम के वह?                                          What is your name?
2393                                                  केक                                                        What
2394                                                   वह                                                          Is
2395                                                 तेरा                                                        Your
2396                                      तन्ना के कर्या?                                            What did you do?
2397                                         मुझे के करू?                                           What should I do?
2398                                 मुझे के कर साको हुन?                                              What can I do?
2399                                           सवाल के ठ?                                     What are the questions?
2400                                       सवाल के वे वे?                                    What were the questions?
2401                                चिथी मा के लिक्या वह?                              What is written in the letter?
2402                               तेरे से बोल्या गया वह?                                     What you had been told?
2403                                                 छहवा                                                     Shelter
2404                                               चिघनान                                                  False show
2405                                        तू क्युन आया?                                           Why did you come?
2406                                     तू क्युन सो गया?                                          Why did you sleep?
2407                       उस्ना जाना वस्ता क्यूं बोल्या?                                 Why did you tell him to go?
2408                            वो थैला क्युन ले कार आया?                                   Why did he bring the bag?
2409                                  उसे पैसे क्यों दिए?                                  Why did she pay the money?
2410                 हम याहान क्योन बेथे लॉग इन करते हैं?                                     Why did they sit there?
2411                                तन्ना गडी क्योन चाली?                                   Why do you drive the car?
2412                      हम लॉग मी मीटिंग साई क्योन अये?                     Why did they come late for the meeting?
2413                                    तू किस ताराह आया?                                           How did you come?
2414                                   तू किस ताराह सोया?                                          How did you sleep?
2415                            तन्ना गदी किस ताराह चाली?                                  How did you drive the car?
2416                                      तू काइस लिक्या?                                          How did you write?
2417                            मेरे पास मा किटेन सेउ हा?                       How many apples are there in my hand?
2418                                      तन्ना किटने लय?                                      How many did you take?
2419                          उसे तन्ना कितने रुपिये दिए?                                    How much did he pay you?
2420                                  कल का सफार किसा था?                              How was the journey yesterday?
2421                                तू किसा रस्टे सी अया?                                     Which way did you come?
2422                          तेरा पसंद का रंग कुन सा हे?                             Which is your favourite colour?
2423                              तू कुनसा कामरा मा सोया?                                In which room did you sleep?
2424                               तू कुनसी काहनी सुनैया?                                   Which story did you tell?
2425                             सब से मीठा फल कुन सा हे?                                Which is the sweetest fruit?
2426                हिंदी का सब से बदहिया अखबर कुन सा वह?                       Which is the best newspaper in Hindi?
2427       भरत के किसा प्रैंट की जाननख्य सब से ज्यादा वह?              Which Indian state has the largest population?
2428                                    तू कथा सा अया वह?                                  Where are you coming from?
2429                                         तू कथा सोया?                                        Where did you sleep?
2430                                मानेगर बाबू की कथा ह?                               Where is the manager’s cabin?
2431                                          मा कथा जौन?                                          Where should I go?
2432                                  हां एक किताब वह के?                                               Is it a book?
2433                                हान, हां एक किताब वह।                                          Yes, it is a book.
2434                                       यो जावब वह के?                                           Is it the answer?
2435                                  हान, यो हाय जौब वह।                                      Yes, it is the answer.
2436                                तू मेरे साथ अवागा के?                                      Will you come with me?
2437                               मा तेरे साथ चालानुंगा।                                      I shall come with you.
2438                             तेरी कलाम मन्ना डेगा के?                                  Will you give me your pen?
2439                                         हान, बिलकुल।                                             Yes, of course.
2440                           तू मन्ना प्यार कारा वह के?                                             Do you love me?
2441                        हैन, मा तन्ना प्यार करुण हुन।                                            Yes, I love you.
2442                     ना, मा तन्ना प्यार ना कारुन हुन।                                       No, I don't love you.
2443                       तेरी कलाम मन्ना डे साका वह के?                                   Can you give me your pen?
2444                              यो डब्बा उठा सका हे के?                                       Can you lift the box?
2445                                 परीक्षा दे शक हे के?                                     Can you write the exam?
2446                                   तू खान खा लीया के?                                         Did you have lunch?
2447                                          तू किसा वह?                                                How are you?
2448                                            मुझे हुन।                                                  I am fine.
2449                                                 ढूंढ                                                      An old
2450                                                 धोरै                                                        slow
2451                                              ध्याड़ी                                                       Wages
2452                                            डिगर जाना                                                To move away
2453                                               डिठौरा                                                   The pride
2454                                               दोहरां                                                      Double
2455                                            डूबा-ढेरी                                                 Heavy flood
2456                                                डूंघा                                                        Deep
2457                                                  दूब                                                       grass
2458                                                डोवटी                                                   The thick
2459                                               दुड़की                                               The mini race
2460                                             दुकड़िया                                                      A room
2461                                                 दस्त                                                    Dysantry
2462                                             एकड़वासी                                            The lonely place
2463                                               फाफोटे                                                    Show-off
2464                                          फांची मारना                                                To interrupt
2465                                              फल्लारी                                                    for ride
2466                                               फरहड़े                                                     The dry
2467                                                फटफटी                                                 motor-cycle
2468                                              फुसफुसी                                                    The lose
2469                                                गादड़                                                      Jackal
2470                                                गागड़                                                    The long
2471                                               गडराणा                                                   to answer
2472                                               गामौली                                                    villager
2473                                                  गार                                                         mud
2474                                                  गाळ                                                      street
2475                                               गावड़ी                                                         Cow
2476                                                 गाभा                                                         Old
2477                                                गाभरू                                                 A young man
2478                                               गभसूवा                                                  Safety pin
2479                                                गड़ंग                                                      boasts
2480                                                  गैल                                                        With
2481                                                गळामा                                                        Rope
2482                                               गलहूरा                                                        Chee
2483                                               गंधीला                                                       Dirty
2484                                                 गंठा                                                   The onion
2485                                               गरेड़ा                                                    obstacle
2486                                           गवार पट्ठा                                                   Aloe Vera
2487                                               गवहेरा                                                      A wild
2488                                                गींडो                                                        Ball
2489                                                  गीत                                                 Local songs
2490                                                  घाम                                                    Sunshine
2491                                                घालणा                                                  To pour in
2492                                               घेंसळा                                                   The rough
2493                                               घेट्टी                                                        Neck
2494                                                  घणा                                                    Abundant
2495                                                  घणा                                                    Too much
2496                                                घनखरे                                                Many of them
2497                                               घरवासा                                                 Family life
2498                                                घट्टा                                                        Hole
2499                                               घिचमिच                                                   congested
2500                                                घिलौठ                                                     A sweet
2501                                                  घिन                                                      Hatred
2502                                                घिणका                                                       Dense
2503                                                 घूघी                                                A small bird
2504                                               बिलकुल                                                    Ofcourse
2505                                                 सवाल                                                  questions 
2506                                                अंतिम                                                    the last
2507                                                  खेत                                                        farm
2508                                                स्वाद                                                       tasty
2509                                              तन्ने\n                                                        you 
2510                                                  कलम                                                         pen
2511                                                   के                                                        what
2512                                               दोपहर                                                         noon
2513                                                 बख़्त                                                        time
2514                                                 रात                                                        night
2515                                          नरम सा मौसम                                                soft weather
2516                                                 मौसम                                                     weather
2517                                                  नरम                                                        soft
2518                                                  नरम                                                        mild
2519                                               गर्मी                                                         heat
2520                                            बुरा सपना                                                   nightmare
2521                                                आँतड़ी                                                   intestine
2522                                                 जिगर                                                       liver
2523                                                  बाल                                                        hair
2524                                                 लटूर                                                        hair
2525                                             नास्टी                                                          nose
2526                                                 घेटी                                                        neck
2527                                                 कोणी                                                       albow
2528                                            करण देना                                                     to let\n
2529                                         कमावण ताहीं                                                      To earn
2530                                            भरण खातिर                                                     to fill
2531                                          बोझ ढ़ोवणा                                                 carry a load
2532                                              जाण दे                                                       let go
2533                                           चालण द्यो                                                carry on with
2534                                       के हो रहया सै                                           What is happening?
2535                              सब काम मैं लाग रहे सैं                                             everyone is busy
2536                      यो राह कुण-से गाम में जावै सै ?                       Which village does this road lead to?
2537                                                  कद                                                        when 
2538                                                मन्नै                                                          Me
2539                                                  ओड                                                       so big
2540                                              उरे-नै                                                     This way
2541                                               कदे                                                      sometimes
2542                                            कदे-कदे                                                     sometimes
2543                                                टुकेक                                                    a little
2544                                        ज्याहें तैं                                                    that's why
2545                                                  जिब                                                        then
2546                                               जिब्बै                                                        then
2547                                                  जित                                                       Where
2548                                                जड़ै                                                        Where
2549                                               जित-बी                                                    wherever
2550                                           जड़ै-बी                                                       wherever
2551                                                   ऊँ                                                  By the way
2552                                                ऊँ-तै                                                  By the way
2553                                               न्यूंन                                                   that side
2554                                             न्यूंनै                                                    that side
2555                                               परला                                                 the one there
2556                                                   री                                                         ari
2557                                                   घर                                                        home
2558                                                चक्कर                                                     problem
2559                                               के है?                                                    What is?
2560                                                के सै                                                    What is?
2561                                                  ताऊ                                                       Uncle
2562                                               छांटणा                                            Being oversmart 
2563                                                 भांण                                                      sister
2564                                                 बेबे                                                      sister
2565                                                  बीर                                                     brother
2566                                                 बीरा                                                     brother
2567                                                 बापू                                                      father
2568                                                 बाबू                                                      father
2569                                                  खसम                                                     husband
2570                                                घरआळा                                                     husband
2571                                                भरतार                                                     husband
2572                                                  माँ                                                      mother
2573                                                  धणी                                                        wife
2574                                                घरआली                                                        wife
2575                                               घरबैरण                                                        wife
2576                                                लुगाई                                                        wife
2577                                              बिरबानी                                                        wife
2578                                                 चाचा                                                       uncle
2579                                                 काका                                                       uncle
2580                                                 काकी                                                       aunty
2581                                                  ताई                                                       aunty
2582                                                 दादी                                                 grandmother
2583                                                दादा                                                  grandfather
2584                                                  कदन                                                         day
2585                                                  अलग                                                   different
2586                                                 कररए                                                          do
2587                                               कु वाड                                                        door
2588                                                 नीचे                                                        down
2589                                                 धरती                                                       earth
2590                                                 खाना                                                         eat
2591                                                  खतम                                                         end
2592                                                 बोहत                                                      enough
2593                                                 सारे                                                       every
2594                                                उधारन                                                     example
2595                                                   आख                                                         eye
2596                                                  मुह                                                        face
2597                                               कु णबा                                                      family
2598                                                 बाबु                                                      father
2599                                                  पेर                                                        foot
2600                                                 धोडा                                                         few
2601                                                 पाया                                                        find
2602                                                 पहला                                                       first
2603                                              नू करना                                                      follow
2604                                                 खाणा                                                        food
2605                                              उस खातर                                                         for
2606                                                 roop                                                        form
2607                                                    त                                                        from
2608                                                 पाणा                                                         get
2609                                                 छोरी                                                        girl
2610                                                 देणा                                                        give
2611                                                 जाणा                                                          go
2612                                                आच्या                                                        good
2613                                                 माहण                                                       great
2614                                                group                                                       group
2615                                                 बडना                                                        grow
2616                                                   था                                                         Had
2617                                                  हाथ                                                        hand
2618                                                 करडा                                                        hard
2619                                                    ह                                                        have
2620                                                    ह                                                         has
2621                                                   वो                                                          he
2622                                                   सर                                                        head
2623                                               सुनाया                                                        hear
2624                                                  मदद                                                        help
2625                                                  आडे                                                        here
2626                                                  ऊचा                                                        high
2627                                                 ताता                                                         hot
2628                                                   घर                                                       house
2629                                                कु कर                                                         how
2630                                                   मै                                                           I
2631                                                जवचार                                                        Idea
2632                                              नूयू भी                                                          If
2633                                                जरूरी                                                   Important
2634                                                    म                                                          In
2635                                                    ह                                                          Is
2636                                                  चीज                                                        Item
2637                                                 abhi                                                        Just
2638                                                राखीए                                                        Keep
2639                                                दयालु                                                        Kind
2640                                               जपछाणा                                                        Know
2641                                                 धरती                                                        Land
2642                                                  बडा                                                       Large
2643                                                 आखरी                                                        Last
2644                                                बाद म                                                       Later
2645                                                सीखणा                                                       Learn
2646                                                छोडीए                                                       Leave
2647                                                 बाया                                                        Left
2648                                                 चालो                                                         Let
2649                                                 चीठी                                                      Letter
2650                                               जींदगी                                                        Life
2651                                                रोशनी                                                       Light
2652                                                 जीसा                                                        Like
2653                                                   लन                                                        Line
2654                                                प्रची                                                        List
2655                                                 थोडा                                                      Little
2656                                                 जीणा                                                        Live
2657                                               लाम्बा                                                        Long
2658                                                देजखए                                                        Look
